/Users/bell/ecoraid/2015/Moorings/15bs8a/final_data/15bs8a_s39_0023m.nc
2016-03-30,-1.69207704067
2016-03-31,-1.70962703228
2016-04-01,-1.72989583015
2016-04-02,-1.73333477974
2016-04-03,-1.73638892174
2016-04-04,-1.73198056221
2016-04-05,-1.72834718227
2016-04-06,-1.724360466
2016-04-07,-1.69354724884
2016-04-08,-1.71989238262
2016-04-09,-1.73521530628
2016-04-10,-1.7388201952
2016-04-11,-1.73432290554
2016-04-12,-1.72326529026
2016-04-13,-1.72242224216
2016-04-14,-1.71628189087
2016-04-15,-1.71186316013
2016-04-16,-1.71822702885
2016-04-17,-1.71734797955
2016-04-18,-1.72169935703
2016-04-19,-1.71887218952
2016-04-20,-1.68049514294
2016-04-21,-1.69134378433
2016-04-22,-1.61841392517
2016-04-23,-1.45644307137
2016-04-24,-1.59392988682
2016-04-25,-1.60102915764
2016-04-26,-1.56829726696
2016-04-27,-1.6016638279
2016-04-28,-1.56974518299
2016-04-29,-1.49690973759
2016-04-30,-1.472859025
2016-05-01,-1.43959856033
2016-05-02,-1.43040275574
2016-05-03,-1.42182505131
2016-05-04,-1.35432982445
2016-05-05,-1.42757701874
2016-05-06,-1.43640899658
2016-05-07,-1.44703054428
2016-05-08,-1.37753677368
2016-05-09,-1.27478051186
2016-05-10,-1.24086177349
2016-05-11,-1.04029166698
2016-05-12,-0.884199976921
2016-05-13,-0.967404842377
2016-05-14,-1.03997564316
2016-05-15,-1.07101595402
2016-05-16,-1.08643472195
2016-05-17,-1.21053814888
2016-05-18,-0.728906273842
2016-05-19,-0.25141736865
2016-05-20,-0.554233312607
2016-05-21,-0.581899285316
2016-05-22,-0.838470816612
2016-05-23,-1.13233268261
2016-05-24,-1.20278120041
2016-05-25,0.164659723639
2016-05-26,-0.103325694799
2016-05-27,0.352622210979
2016-05-28,-0.797926366329
2016-05-29,-1.05504369736
2016-05-30,-0.60725903511
2016-05-31,-0.438501387835
2016-06-01,-0.407674998045
2016-06-02,-1.02065765858
2016-06-03,-0.774504184723
2016-06-04,-0.191885426641
2016-06-05,0.357148617506
2016-06-06,0.572249293327
2016-06-07,0.839747905731
2016-06-08,0.736871540546
2016-06-09,0.555214583874
2016-06-10,0.786134004593
2016-06-11,0.717727065086
2016-06-12,0.216360419989
2016-06-13,0.2693541646
2016-06-14,1.37514162064
2016-06-15,2.29367923737
2016-06-16,2.57973814011
2016-06-17,0.844738185406
2016-06-18,-0.748522222042
2016-06-19,-0.616269469261
2016-06-20,-0.659546554089
2016-06-21,0.352236121893
2016-06-22,1.55959653854
2016-06-23,1.66481804848
2016-06-24,2.17193055153
2016-06-25,1.51458609104
2016-06-26,2.11065268517
2016-06-27,3.2475605011
2016-06-28,3.76067996025
2016-06-29,3.85027766228
2016-06-30,3.91349434853
2016-07-01,4.01530504227
2016-07-02,3.95461249352
2016-07-03,4.02150297165
2016-07-04,3.74641609192
2016-07-05,3.56737089157
2016-07-06,3.83971118927
2016-07-07,4.26134777069
2016-07-08,4.21845674515
2016-07-09,3.82685422897
2016-07-10,3.81959867477
2016-07-11,3.80798053741
2016-07-12,3.08019018173
2016-07-13,3.40754652023
2016-07-14,3.64388895035
2016-07-15,3.21540212631
2016-07-16,3.43867230415
2016-07-17,2.50834584236
2016-07-18,2.85148262978
2016-07-19,4.62583112717
2016-07-20,4.77948045731
2016-07-21,4.78059244156
2016-07-22,5.03631782532
2016-07-23,4.97399044037
2016-07-24,4.96417856216
2016-07-25,4.95432758331
2016-07-26,4.99531030655
2016-07-27,4.7207403183
2016-07-28,4.71938037872
2016-07-29,4.56106853485
2016-07-30,4.64036798477
2016-07-31,4.51274299622
2016-08-01,4.41349077225
2016-08-02,4.76115894318
2016-08-03,4.78358888626
2016-08-04,4.13660955429
2016-08-05,4.05853700638
2016-08-06,4.5760383606
2016-08-07,5.02118396759
2016-08-08,4.32446241379
2016-08-09,3.53844714165
2016-08-10,3.2114944458
2016-08-11,3.64631938934
2016-08-12,4.06756258011
2016-08-13,5.060151577
2016-08-14,5.48508358002
2016-08-15,5.47740507126
2016-08-16,4.88886165619
2016-08-17,4.24466228485
2016-08-18,4.93083333969
2016-08-19,5.36164188385
2016-08-20,5.35912895203
2016-08-21,5.37200975418
2016-08-22,6.03740262985
2016-08-23,8.45726680756
2016-08-24,7.81502199173
2016-08-25,8.8590631485
2016-08-26,10.2046527863
2016-08-27,10.3918218613
2016-08-28,10.3309059143
2016-08-29,10.4016370773
2016-08-30,10.4077177048
2016-08-31,10.2696800232
2016-09-01,9.27238845825
2016-09-02,8.86058235168
2016-09-03,9.25082588196
2016-09-04,10.2271966934
2016-09-05,10.0906362534
2016-09-06,10.0459089279
2016-09-07,9.8853225708
2016-09-08,9.75315093994
2016-09-09,9.72794342041
2016-09-10,9.74935817719
2016-09-11,9.76623916626
2016-09-12,9.60551738739
2016-09-13,9.83056735992
2016-09-14,9.63341522217
2016-09-15,8.94244003296
2016-09-16,8.62341690063
2016-09-17,8.5233745575
2016-09-18,8.61472034454
2016-09-19,8.63640213013
2016-09-20,8.59878921509
2016-09-21,8.58726215363
2016-09-22,8.46875190735
2016-09-23,8.35955715179
2016-09-24,8.25884056091
2016-09-25,8.25121021271

/Users/bell/ecoraid/2015/Moorings/15bs8a/final_data/15bs8a_s39_0027m.nc
,0
2015-09-24,7.32131242752
2015-09-25,7.21737718582
2015-09-26,8.01206588745
2015-09-27,7.52622699738
2015-09-28,7.52777719498
2015-09-29,7.36341333389
2015-09-30,7.23563766479
2015-10-01,7.1078748703
2015-10-02,6.17560434341
2015-10-03,6.22337007523
2015-10-04,6.30480480194
2015-10-05,6.28822231293
2015-10-06,6.2858300209
2015-10-07,6.38775205612
2015-10-08,5.93333339691
2015-10-09,6.26333522797
2015-10-10,5.78766870499
2015-10-11,5.22071266174
2015-10-12,4.33886480331
2015-10-13,4.12857151031
2015-10-14,4.01498031616
2015-10-15,3.995470047
2015-10-16,4.05757904053
2015-10-17,4.4750790596
2015-10-18,4.59280824661
2015-10-19,4.46278381348
2015-10-20,4.38180494308
2015-10-21,4.48145484924
2015-10-22,4.51224660873
2015-10-23,4.46760082245
2015-10-24,4.46159934998
2015-10-25,4.45140743256
2015-10-26,4.41145610809
2015-10-27,4.33073616028
2015-10-28,4.04462575912
2015-10-29,3.90630340576
2015-10-30,3.87251806259
2015-10-31,3.85722303391
2015-11-01,3.85342359543
2015-11-02,3.82976102829
2015-11-03,3.81147837639
2015-11-04,3.78637647629
2015-11-05,3.73640203476
2015-11-06,3.63121533394
2015-11-07,3.47205543518
2015-11-08,3.37461948395
2015-11-09,3.19098043442
2015-11-10,2.6897354126
2015-11-11,2.66221737862
2015-11-12,2.56941461563
2015-11-13,2.38106250763
2015-11-14,2.19282507896
2015-11-15,2.10801744461
2015-11-16,1.75960206985
2015-11-17,1.63010001183
2015-11-18,1.51610279083
2015-11-19,1.21549236774
2015-11-20,0.993483304977
2015-11-21,0.947772920132
2015-11-22,0.854590296745
2015-11-23,0.816167354584
2015-11-24,0.804213881493
2015-11-25,0.819644451141
2015-11-26,0.712891638279
2015-11-27,0.610540986061
2015-11-28,0.54123955965
2015-11-29,0.536050677299
2015-11-30,0.499051392078
2015-12-01,0.475355565548
2015-12-02,0.431444436312
2015-12-03,0.396948605776
2015-12-04,0.325708329678
2015-12-05,0.219429865479
2015-12-06,0.123692363501
2015-12-07,0.0503722205758
2015-12-08,0.00643402757123
2015-12-09,-0.252586096525
2015-12-10,-0.525944471359
2015-12-11,-0.589675724506
2015-12-12,-0.563338220119
2015-12-13,-0.638885438442
2015-12-14,-0.73772919178
2015-12-15,-0.927753448486
2015-12-16,-0.994204878807
2015-12-17,-1.05644726753
2015-12-18,-1.11503815651
2015-12-19,-1.1825646162
2015-12-20,-1.19425141811
2015-12-21,-1.27705001831
2015-12-22,-1.33797633648
2015-12-23,-1.51328539848
2015-12-24,-1.63912427425
2015-12-25,-1.59066879749
2015-12-26,-1.42857849598
